#GRM155C61E475ME15,,
#2023/01/18,,
#r,,
#DC0V 25degC,,
Frequency[Hz],Resistance[ohm],
99.99999999999999,5.208236324236741,
104.57921513303334,5.000968076017119,
109.3681223784127,4.80532008661135,
114.37632398907938,4.620598685640698,
119.61386192579457,4.446100635487571,
125.09123799230618,4.281121440849372,
130.8194348925486,4.124962693933162,
136.8099382520969,3.976938519867252,
143.0747596480305,3.8363811985458494,
149.6264606933842,3.7026460438585937,
156.47817822447783,3.575115620145799,
163.643650641628,3.453203369725074,
171.13724545605763,3.3363567155400498,
178.97398809823787,3.2240596903807512,
187.1695920454257,3.1158351297578344,
195.74049032880657,3.011246450432823,
204.70386848341695,2.909899021838282,
214.07769900691426,2.811441124237392,
223.88077739628844,2.7155644764709774,
234.132759834772,2.6220043084735565,
244.85420260451446,2.530538950200848,
256.06660330404856,2.440988909786327,
267.79244395319193,2.3532154199091124,
280.0552360718164,2.2671184424246595,
292.87956782286926,2.1826341367684394,
306.2911533141767,2.099731816555043,
320.3168841578819,2.0184104398185814,
334.9848833909005,1.9386946998408725,
350.32456186451077,1.8606308036829218,
366.36667721614316,1.7842820425780759,
383.1433955416162,1.7097242706669225,
400.6883558914757,1.6370414149326842,
419.03673772076064,1.5663211389350433,
438.22533142743896,1.4976507759379065,
458.2926121209498,1.431113633791717,
479.2788167687661,1.3667857555126308,
501.22602487566456,1.304733197365291,
524.1782428574726,1.2450098621064978,
548.1814922784702,1.1876559006436882,
573.2839021293738,1.1326966723371417,
599.5358053309263,1.0801422338902036,
626.9898396565933,1.0299873102191663,
655.7010532767296,0.9822116884533941,
685.7270151358366,0.9367809684570001,
717.1279303842347,0.8936475997999959,
749.9667610955984,0.8527521354712448,
784.3093525124082,0.8140246361566242,
820.224565072452,0.7773861648446131,
857.7844124811066,0.7427503190868152,
897.0642061062426,0.7100247566975556,
938.142705985285,0.6791126793805681,
981.1022787472119,0.649914247191839,
1026.0290627661395,0.6223279044875123,
1073.0131408776467,0.5962516047856822,
1122.1487210041523,0.5715839276292272,
1173.5343250515148,0.5482250850071921,
1227.2729864556143,0.5260778181867114,
1283.4724567750195,0.5050481880021866,
1342.245421743976,0.4850462628618573,
1403.7097272189235,0.4659867091189159,
1467.9886154715934,0.4477892881898152,
1535.2109723024755,0.43037926407525606,
1605.5115854701385,0.41368772394564235,
1679.031414954591,0.3976518133849888,
1755.9178755965756,0.38221488693106603,
1836.3251326795319,0.3673265738699058,
1920.4144110468878,0.3529427589782523,
2008.3543183744998,0.3390254781569332,
2100.3211832464335,0.32554272971229326,
2196.4994087119585,0.3124682034164684,
2297.081842032684,0.2997809313451984,
2402.270161361206,0.2874648667305254,
2512.2752801266033,0.27550839950135086,
2627.3177699376165,0.26390381960777215,
2747.628302851474,0.25264674141028226,
2873.448113895156,0.24173550414498696,
3005.0294847665045,0.23117056456654794,
3142.6362496850466,0.2209538981906351,
3286.544324406816,0.21108842504622133,
3437.0422594639017,0.2015774745204256,
3594.431818738024,0.19242430182473855,
3759.028584528241,0.18363166598407069,
3931.162590326006,0.17520147624652718,
4111.17898256636,0.16713451065091714,
4299.438712682124,0.15943020738787128,
4496.31926084876,0.15208652674258,
4702.215392871039,0.14509987896699234,
4917.539951729213,0.13846511150165522,
5142.724685371758,0.13217554760484837,
5378.221112414542,0.1262230676525055,
5624.501427482223,0.12059822410817711,
5882.059448007166,0.11529038135849173,
6151.41160438433,0.11028787217710981,
6433.097975467465,0.10557816342157983,
6727.68337148293,0.10114802458633389,
7035.758466532444,0.09698369394313472,
7357.940982955574,0.0930710381223662,
7694.876929926739,0.08939570206492828,
8047.241898770236,0.08594324726122378,
8415.742417590522,0.08269927706183504,
8801.117367933934,0.07964954857796208,
9204.139466322391,0.076780071283008,
9625.616813629718,0.07407719288233255,
10066.394515407255,0.07152767334419242,
10527.356376407623,0.06911874819283136,
11009.42667270443,0.06683818226806082,
11513.572004961123,0.0646743151687066,
12040.803236564994,0.06261609953422008,
12592.177520512547,0.06065313319347182,
13168.800419110281,0.058775686035740494,
13771.828120741138,0.05697472224948191,
14402.469758141457,0.05524191834289897,
15061.989832836824,0.053569677120264586,
15751.710750598017,0.05195113755346507,
16473.01547300104,0.050380180273868494,
17227.35029040763,0.04885142823006688,
18016.227721926643,0.047360241926493886,
18841.229548170857,0.04590270858918134,
19704.009982890246,0.04447562460815183,
20606.298989841154,0.04307647068739856,
21549.905751542057,0.041703379294057805,
22536.722296871103,0.04035509423296304,
23568.72729477912,0.03903092246922737,
24647.99002172501,0.03773067866116955,
25776.674510788394,0.03645462322453053,
26957.04389077916,0.03520339509854467,
28191.464924044165,0.0339779406958702,
29482.412752069788,0.032779440764261966,
30832.47585839592,0.031609237045581697,
32244.361258792436,0.03046876067203238,
33720.899929105,0.029359464184268748,
35265.052481653605,0.02828275889499814,
36879.915101565646,0.02723995906790057,
38568.72575494639,0.02623223405592284,
40334.870681335015,0.025260569171218356,
42181.89118346415,0.024325735669466064,
44113.490727937,0.02342826985154076,
46133.54237105995,0.022568460939716473,
48246.09652471983,0.021746347092660396,
50455.38907787768,0.020961718695900453,
52765.84988996271,0.02021412790802957,
55182.11167319754,0.019502903357259262,
57709.01928166397,0.018827168862524606,
60351.639425735055,0.018185865088868745,
63115.27083135204,0.01757777312669722,
66005.4548645163,0.01700153909617915,
69027.98664229971,0.016455699009326866,
72188.92665265215,0.015938703261980217,
75494.61290630474,0.01544894026662602,
78951.67364513518,0.014984758867238053,
82567.04063247632,0.014544489293695732,
86347.96305201648,0.014126462512293944,
90302.02204316044,0.013729027908535517,
94437.14590199596,0.013350569298337146,
98761.62597834493,0.012989519304642119,
103284.13330077511,0.01264437215974146,
108013.73596290655,0.0123136950015393,
112959.91730587467,0.011996137727218496,
118132.59493340722,0.01169044145328277,
123542.14059764279,0.01139544561002838,
129199.40099556338,0.011110093674530454,
135115.71951774065,0.010833437522647838,
141302.95899300394,0.010564640360678702,
147773.52547463533,0.0103029781841888,
154540.39311578672,0.010047839707756686,
161617.13018399404,0.009798724716814628,
169017.92626695373,0.009555240812372441,
176757.6207241092,0.009317098551066428,
184851.7324410973,0.009084105025346123,
193316.49094671433,0.008856155979170777,
202168.86895479533,0.008633226609742637,
211426.61639625567,0.008415361261176134,
221108.2960095334,0.008202662266823047,
231233.3205607941,0.007995278238576164,
241821.99176852946,0.007793392129800166,
252895.54101059664,0.007597209410610704,
264476.17189532047,0.007406946688491702,
276587.1047820182,0.007222821083772565,
289252.62334021524,0.007045040629945,
302498.1232409063,0.0068737959162331755,
316350.1630774958,0.0067092531283113556,
330836.51761851617,0.006551548577200532,
345986.2334989038,0.006400784740827329,
361829.6874614976,0.0062570277817274745,
378398.6472655419,0.006120306451372074,
395726.33538431907,0.005990612249016335,
413847.4956196361,0.00586790067213891,
